Topic,Words,Frequency,Timestamp,Name
1,"care, hospital, patients, health, air",5,2024-02-03 18:14:24.000,1_care_health_hospital_health care
4,"government, legislation, law, court, judicial",1,2024-02-03 18:14:24.000,4_encampments_homeless_people_housing
6,"tax, beer, inflation, taxes, privatization",2,2024-02-03 18:14:24.000,6_beer_stores_store_alcohol
10,"problem, housing, high level, magic, government ve",1,2024-02-03 18:14:24.000,10_housing_homes_affordable_units
11,"hydro, harris, harris government, debt, nuclear",1,2024-02-03 18:14:24.000,11_energy_power_electricity_gas
15,"carbon, tax, carbon tax, crombie, trudeau",1,2024-02-03 18:14:24.000,15_carbon_tax_carbon tax_crombie
17,"transit, crosstown, ttc, line, fare",3,2024-02-03 18:14:24.000,17_transit_metrolinx_lrt_crosstown
20,"wage, court, workers, bargaining, appeal",5,2024-02-03 18:14:24.000,20_workers_wage_court_public sector
-1,"government, said, environmental, ontario, species",12,2024-02-12 04:48:00.000,-1_government_ontario_said_ford
0,"ford, conservative, davis, trump, people",5,2024-02-12 04:48:00.000,0_ford_election_tariffs_trump
1,"care, health, health care, term care, long term",5,2024-02-12 04:48:00.000,1_care_health_hospital_health care
2,"books, wynne, province, bull, taxpayers",1,2024-02-12 04:48:00.000,2_tax_billion_government_ford
3,"universities, students, student, international, enrolment",4,2024-02-12 04:48:00.000,3_students_colleges_school_education
5,"guilbeault, lanes, roads, bike, road",1,2024-02-12 04:48:00.000,5_bike_lanes_bike lanes_traffic
8,"opioid, sites, health, belleville, consumption",3,2024-02-12 04:48:00.000,8_sites_drug_health_consumption
9,"halton, police, justice, said, accused",1,2024-02-12 04:48:00.000,9_judges_police_bail_judicial
13,"407, tunnel, tolls, highway, renewal",2,2024-02-12 04:48:00.000,13_tunnel_highway_401_407
15,"carbon, carbon tax, tax, crombie, ford",8,2024-02-12 04:48:00.000,15_carbon_tax_carbon tax_crombie
20,"court, workers, wage, appeal, 124",7,2024-02-12 04:48:00.000,20_workers_wage_court_public sector
-1,"act, government, legislation, carbon pricing, pricing",5,2024-02-20 15:21:36.000,-1_government_ontario_said_ford
0,"cent, coletto, ford, said, party",3,2024-02-20 15:21:36.000,0_ford_election_tariffs_trump
1,"health, care, health care, primary care, patients",6,2024-02-20 15:21:36.000,1_care_health_hospital_health care
3,"students, tuition, universities, colleges, schools",23,2024-02-20 15:21:36.000,3_students_colleges_school_education
4,"town, apartment, appointments, flags, pride",1,2024-02-20 15:21:36.000,4_encampments_homeless_people_housing
8,"mental, mental health, health, said, research",2,2024-02-20 15:21:36.000,8_sites_drug_health_consumption
9,"judges, appointments, committee, judicial, minded",16,2024-02-20 15:21:36.000,9_judges_police_bail_judicial
10,"housing, homes, municipalities, new, affordable",5,2024-02-20 15:21:36.000,10_housing_homes_affordable_units
11,"energy, gas, electricity, board, climate",3,2024-02-20 15:21:36.000,11_energy_power_electricity_gas
12,"building, legislative, science, science centre, centre",2,2024-02-20 15:21:36.000,12_science_science centre_centre_buildin...
15,"carbon, carbon tax, tax, crombie, ford",6,2024-02-20 15:21:36.000,15_carbon_tax_carbon tax_crombie
17,"transit, ttc, fare, riders, program",2,2024-02-20 15:21:36.000,17_transit_metrolinx_lrt_crosstown
19,"serviceontario, mccarthy, burch, locations, service",1,2024-02-20 15:21:36.000,19_bags_paper_serviceontario_paper bags
20,"workers, strike, university, wage, court",4,2024-02-20 15:21:36.000,20_workers_wage_court_public sector
21,"boundary, changes, referendum, urban, environmental",1,2024-02-20 15:21:36.000,21_land_development_urban_appeal
-1,"women, speak, calandra, day, opportunity",2,2024-02-29 01:55:12.000,-1_government_ontario_said_ford
0,"milton, liberal, hamid, ford, byelection",10,2024-02-29 01:55:12.000,0_ford_election_tariffs_trump
1,"patients, care, patient, health, ed",3,2024-02-29 01:55:12.000,1_care_health_hospital_health care
3,"schools, day, teachers, lecce, school",1,2024-02-29 01:55:12.000,3_students_colleges_school_education
4,"powers, strong, mayors, strong mayor, municipalities",1,2024-02-29 01:55:12.000,4_encampments_homeless_people_housing
8,"mental, mental health, health, research, addiction",1,2024-02-29 01:55:12.000,8_sites_drug_health_consumption
9,"judges, appointments, judicial, justice, committee",13,2024-02-29 01:55:12.000,9_judges_police_bail_judicial
10,"housing, martin, homes, norfolk, building",2,2024-02-29 01:55:12.000,10_housing_homes_affordable_units
13,"407, hwy, tolls, hwy 407, highway",2,2024-02-29 01:55:12.000,13_tunnel_highway_401_407
15,"carbon, carbon tax, tweet facebook, think tweet, facebook don",1,2024-02-29 01:55:12.000,15_carbon_tax_carbon tax_crombie
20,"workers, public sector, legislation, 124, wage",2,2024-02-29 01:55:12.000,20_workers_wage_court_public sector
-1,"federal, projects, government, ontario, said",4,2024-03-08 12:28:48.000,-1_government_ontario_said_ford
0,"poilievre, opportunity, focus, ford, federal",1,2024-03-08 12:28:48.000,0_ford_election_tariffs_trump
1,"health, care, family, doctor, primary care",11,2024-03-08 12:28:48.000,1_care_health_hospital_health care
2,"tax, spending, budget, government, taxes",7,2024-03-08 12:28:48.000,2_tax_billion_government_ford
3,"students, education, trades, labour, skilled trades",1,2024-03-08 12:28:48.000,3_students_colleges_school_education
7,"lcbo, hornick, union, workers, stores",3,2024-03-08 12:28:48.000,7_lcbo_strike_union_stores
8,"sites, consumption, funding, safe consumption, consumption sites",1,2024-03-08 12:28:48.000,8_sites_drug_health_consumption
9,"judges, judicial, lawyers, appointments, ford",15,2024-03-08 12:28:48.000,9_judges_police_bail_judicial
10,"housing, target, units, welland, st catharines",2,2024-03-08 12:28:48.000,10_housing_homes_affordable_units
11,"energy, power, electricity, hydro, ontario",4,2024-03-08 12:28:48.000,11_energy_power_electricity_gas
15,"carbon, tax, carbon tax, federal, ford",2,2024-03-08 12:28:48.000,15_carbon_tax_carbon tax_crombie
20,"arbitration, teachers, teacher, unions, ended",2,2024-03-08 12:28:48.000,20_workers_wage_court_public sector
21,"authority, directors, conservation, regulations, changes",1,2024-03-08 12:28:48.000,21_land_development_urban_appeal
-1,"housing, highway, course, policy, assessment",5,2024-03-16 23:02:24.000,-1_government_ontario_said_ford
0,"poilievre, cent, coletto, conservative, trudeau",2,2024-03-16 23:02:24.000,0_ford_election_tariffs_trump
1,"medical, university, school, medical school, vaughan",4,2024-03-16 23:02:24.000,1_care_health_hospital_health care
2,"tax, government, activities, billion, spending",5,2024-03-16 23:02:24.000,2_tax_billion_government_ford
3,"universities, funding, students, tuition, schools",2,2024-03-16 23:02:24.000,3_students_colleges_school_education
4,"nations, police, policing, enforcement, police services",3,2024-03-16 23:02:24.000,4_encampments_homeless_people_housing
8,"gretzky, health, review, sites, windsor",1,2024-03-16 23:02:24.000,8_sites_drug_health_consumption
9,"judges, minded, tough, independence, tribunal",3,2024-03-16 23:02:24.000,9_judges_police_bail_judicial
10,"housing, storey, homes, affordable, building",12,2024-03-16 23:02:24.000,10_housing_homes_affordable_units
11,"gas, electricity, plants, energy, emissions",1,2024-03-16 23:02:24.000,11_energy_power_electricity_gas
12,"legislative, building, science, science centre, centre",2,2024-03-16 23:02:24.000,12_science_science centre_centre_buildin...
15,"carbon, tax, carbon tax, crombie, federal",16,2024-03-16 23:02:24.000,15_carbon_tax_carbon tax_crombie
16,"ontario place, place, therme, island, ontario",2,2024-03-16 23:02:24.000,16_place_ontario place_therme_ontario
21,"conservation, wetlands, conservation authority, streams, regulation",1,2024-03-16 23:02:24.000,21_land_development_urban_appeal
-1,"government, 000, ottawa, ontario, ford",18,2024-03-25 09:36:00.000,-1_government_ontario_said_ford
0,"ford pc, pc party, caucus, jobs, pc",1,2024-03-25 09:36:00.000,0_ford_election_tariffs_trump
1,"care, health, health care, funding, million",3,2024-03-25 09:36:00.000,1_care_health_hospital_health care
2,"budget, tax, bethlenfalvy, billion, year",22,2024-03-25 09:36:00.000,2_tax_billion_government_ford
3,"students, colleges, international, student, universities",6,2024-03-25 09:36:00.000,3_students_colleges_school_education
4,"mayor, council, city, parking, housing",2,2024-03-25 09:36:00.000,4_encampments_homeless_people_housing
9,"judges, appointments, judicial, downey, legal",4,2024-03-25 09:36:00.000,9_judges_police_bail_judicial
10,"housing, homes, units, density, housing crisis",9,2024-03-25 09:36:00.000,10_housing_homes_affordable_units
11,"natural gas, natural, gas, heating, new housing",1,2024-03-25 09:36:00.000,11_energy_power_electricity_gas
15,"carbon, tax, carbon tax, crombie, emissions",4,2024-03-25 09:36:00.000,15_carbon_tax_carbon tax_crombie
20,"university, york, workers, education, york university",1,2024-03-25 09:36:00.000,20_workers_wage_court_public sector
-1,"violence, ontario, government, said, 000",13,2024-04-02 20:09:36.000,-1_government_ontario_said_ford
0,"ford, milton, people, election, liberal",9,2024-04-02 20:09:36.000,0_ford_election_tariffs_trump
1,"medical, care, school, university, students",13,2024-04-02 20:09:36.000,1_care_health_hospital_health care
2,"gravy, niagara, budget, ford, billion",6,2024-04-02 20:09:36.000,2_tax_billion_government_ford
3,"colleges, universities, students, colleges universities, education",2,2024-04-02 20:09:36.000,3_students_colleges_school_education
4,"ruling, animal, rights, activists, law",2,2024-04-02 20:09:36.000,4_encampments_homeless_people_housing
8,"consumption, sites, safe consumption, safe, addiction",1,2024-04-02 20:09:36.000,8_sites_drug_health_consumption
9,"law, quadruple, does apply, said legislature, triple",1,2024-04-02 20:09:36.000,9_judges_police_bail_judicial
10,"housing, homes, rent, units, new",14,2024-04-02 20:09:36.000,10_housing_homes_affordable_units
11,"energy, climate, gas, power, building code",2,2024-04-02 20:09:36.000,11_energy_power_electricity_gas
12,"renovation, surma, science, centre, science centre",2,2024-04-02 20:09:36.000,12_science_science centre_centre_buildin...
15,"carbon, carbon tax, tax, crombie, queen",3,2024-04-02 20:09:36.000,15_carbon_tax_carbon tax_crombie
16,"ontario place, place, island, spa, judicial review",1,2024-04-02 20:09:36.000,16_place_ontario place_therme_ontario
17,"city, million, transit, lrt, ottawa",1,2024-04-02 20:09:36.000,17_transit_metrolinx_lrt_crosstown
18,"greenbelt, email, commissioner, integrity commissioner, integrity",4,2024-04-02 20:09:36.000,18_greenbelt_commissioner_rcmp_integrity
19,"bags, paper, paper bags, lcbo, plastic",11,2024-04-02 20:09:36.000,19_bags_paper_serviceontario_paper bags
-1,"highway, government, said, federal, ontario",6,2024-04-11 06:43:12.000,-1_government_ontario_said_ford
0,"party, ford, ndp, crombie, liberals",8,2024-04-11 06:43:12.000,0_ford_election_tariffs_trump
1,"hospital, care, term care, long term, term",6,2024-04-11 06:43:12.000,1_care_health_hospital_health care
2,"tax, income, tax rates, rates, high",1,2024-04-11 06:43:12.000,2_tax_billion_government_ford
8,"substance, drugs, framework, alcohol, use",2,2024-04-11 06:43:12.000,8_sites_drug_health_consumption
10,"rental, housing, affordable, homes, landlord",3,2024-04-11 06:43:12.000,10_housing_homes_affordable_units
11,"power, energy, building code, code, electric",2,2024-04-11 06:43:12.000,11_energy_power_electricity_gas
14,"arnott, speaker, wearing, political, clothing",10,2024-04-11 06:43:12.000,14_arnott_speaker_legislature_wearing
15,"carbon, tax, trudeau, carbon tax, housing",1,2024-04-11 06:43:12.000,15_carbon_tax_carbon tax_crombie
17,"transit, milton, service, express, station",8,2024-04-11 06:43:12.000,17_transit_metrolinx_lrt_crosstown
18,"greenbelt, commissioner, integrity, integrity commissioner, rcmp",2,2024-04-11 06:43:12.000,18_greenbelt_commissioner_rcmp_integrity
19,"bags, paper, paper bags, plastic, lcbo",4,2024-04-11 06:43:12.000,19_bags_paper_serviceontario_paper bags
20,"university, students, workers, strike, york university",1,2024-04-11 06:43:12.000,20_workers_wage_court_public sector
21,"urban, boundary, land, development, appeal",1,2024-04-11 06:43:12.000,21_land_development_urban_appeal
-1,"honda, battery, ev, said, government",20,2024-04-19 17:16:48.000,-1_government_ontario_said_ford
0,"cent, crombie, ford, sault, ms crombie",6,2024-04-19 17:16:48.000,0_ford_election_tariffs_trump
1,"sick, doctors, family, patients, health",4,2024-04-19 17:16:48.000,1_care_health_hospital_health care
3,"students, teachers, schools, school, university",6,2024-04-19 17:16:48.000,3_students_colleges_school_education
4,"police, thunder bay, thunder, investigations, bay",2,2024-04-19 17:16:48.000,4_encampments_homeless_people_housing
9,"police, bail, murder, officer, trial",8,2024-04-19 17:16:48.000,9_judges_police_bail_judicial
11,"gas, energy, climate, electricity, heat",3,2024-04-19 17:16:48.000,11_energy_power_electricity_gas
14,"arnott, legislature, speaker, ban, political",15,2024-04-19 17:16:48.000,14_arnott_speaker_legislature_wearing
17,"rail, transit, station, metrolinx, service",2,2024-04-19 17:16:48.000,17_transit_metrolinx_lrt_crosstown
-1,"said, highway, teachers, office, ford",8,2024-04-28 03:50:24.000,-1_government_ontario_said_ford
0,"milton, ford, kent, cent, kent middlesex",7,2024-04-28 03:50:24.000,0_ford_election_tariffs_trump
1,"doctors, health, care, health care, information",2,2024-04-28 03:50:24.000,1_care_health_hospital_health care
3,"students, school, teachers, education, lecce",11,2024-04-28 03:50:24.000,3_students_colleges_school_education
4,"nations, laws, community, policing, safe",2,2024-04-28 03:50:24.000,4_encampments_homeless_people_housing
8,"drugs, drug, health, toronto, sites",3,2024-04-28 03:50:24.000,8_sites_drug_health_consumption
9,"committee, judges, appointment, justice, judicial",4,2024-04-28 03:50:24.000,9_judges_police_bail_judicial
10,"housing, affordable, homes, house, federal",2,2024-04-28 03:50:24.000,10_housing_homes_affordable_units
14,"arnott, speaker, legislature, ndp, ban",10,2024-04-28 03:50:24.000,14_arnott_speaker_legislature_wearing
19,"bags, plastic, bag, paper, use",2,2024-04-28 03:50:24.000,19_bags_paper_serviceontario_paper bags
21,"mzo, cn, land, development, housing",1,2024-04-28 03:50:24.000,21_land_development_urban_appeal
-1,"said, peel, government, niagara, plant",5,2024-05-06 14:24:00.000,-1_government_ontario_said_ford
0,"crombie, said, ford, crombie said, election",6,2024-05-06 14:24:00.000,0_ford_election_tariffs_trump
1,"hospital, care, caregivers, nursing, patients",3,2024-05-06 14:24:00.000,1_care_health_hospital_health care
3,"students, university, universities, school, schools",7,2024-05-06 14:24:00.000,3_students_colleges_school_education
4,"law, animal, justice, animals, charter",1,2024-05-06 14:24:00.000,4_encampments_homeless_people_housing
8,"impaired, driving, impaired driving, sarkaria, driver",1,2024-05-06 14:24:00.000,8_sites_drug_health_consumption
9,"theft, auto, car, stolen, auto theft",2,2024-05-06 14:24:00.000,9_judges_police_bail_judicial
10,"housing, affordable, fraser, aggressive, federal",3,2024-05-06 14:24:00.000,10_housing_homes_affordable_units
11,"gas, plants, energy, electricity, battery",1,2024-05-06 14:24:00.000,11_energy_power_electricity_gas
14,"arnott, speaker, ban, wearing, legislature",5,2024-05-06 14:24:00.000,14_arnott_speaker_legislature_wearing
18,"greenbelt, premier office, office, involved, premier",2,2024-05-06 14:24:00.000,18_greenbelt_commissioner_rcmp_integrity
20,"workers, cupe, sector, members, wage",1,2024-05-06 14:24:00.000,20_workers_wage_court_public sector
-1,"labour, fife, assault, poilievre, cases",2,2024-05-15 00:57:36.000,-1_government_ontario_said_ford
0,"cent, ford, party, liberals, election",4,2024-05-15 00:57:36.000,0_ford_election_tariffs_trump
1,"care, health, health care, government, nurses",4,2024-05-15 00:57:36.000,1_care_health_hospital_health care
2,"spending, trudeau, tax, trudeau government, government",1,2024-05-15 00:57:36.000,2_tax_billion_government_ford
3,"school, students, student, education, high school",1,2024-05-15 00:57:36.000,3_students_colleges_school_education
8,"sites, drug, health, drugs, consumption",10,2024-05-15 00:57:36.000,8_sites_drug_health_consumption
11,"gas, energy, natural, natural gas, wasted",1,2024-05-15 00:57:36.000,11_energy_power_electricity_gas
16,"ontario place, site, place, ontario, surma",2,2024-05-15 00:57:36.000,16_place_ontario place_therme_ontario
17,"express, metrolinx, documents, train, reversal",1,2024-05-15 00:57:36.000,17_transit_metrolinx_lrt_crosstown
18,"greenbelt, meeting, office, rcmp, involved",2,2024-05-15 00:57:36.000,18_greenbelt_commissioner_rcmp_integrity
19,"serviceontario, locations, bags, partnership, paper",3,2024-05-15 00:57:36.000,19_bags_paper_serviceontario_paper bags
20,"heat, workers, employers, stress, tabuns",3,2024-05-15 00:57:36.000,20_workers_wage_court_public sector
21,"airport, land, pickering, greenbelt, mzo",2,2024-05-15 00:57:36.000,21_land_development_urban_appeal
-1,"hydro, million, stores, fee, crombie",4,2024-05-23 11:31:12.000,-1_government_ontario_said_ford
0,"election, ford, early, early election, language",10,2024-05-23 11:31:12.000,0_ford_election_tariffs_trump
1,"plan, haven, sign, signed, care",1,2024-05-23 11:31:12.000,1_care_health_hospital_health care
2,"debt, budget, manitoba, billion, balanced",3,2024-05-23 11:31:12.000,2_tax_billion_government_ford
3,"school, shooting, said, students, schools",7,2024-05-23 11:31:12.000,3_students_colleges_school_education
6,"beer, stores, store, beer store, million",28,2024-05-23 11:31:12.000,6_beer_stores_store_alcohol
8,"safer, sites, supply, drug, drugs",5,2024-05-23 11:31:12.000,8_sites_drug_health_consumption
9,"brother, ontario, jails, justice, death",1,2024-05-23 11:31:12.000,9_judges_police_bail_judicial
10,"housing, homes, heritage, units, retirement",5,2024-05-23 11:31:12.000,10_housing_homes_affordable_units
14,"statement, legislature, court, decision, courts",2,2024-05-23 11:31:12.000,14_arnott_speaker_legislature_wearing
17,"express, metrolinx, documents, train, reversal",1,2024-05-23 11:31:12.000,17_transit_metrolinx_lrt_crosstown
18,"commissioner, greenbelt, integrity commissioner, integrity, privacy",6,2024-05-23 11:31:12.000,18_greenbelt_commissioner_rcmp_integrity
20,"court, strike, right, decision, ttc",1,2024-05-23 11:31:12.000,20_workers_wage_court_public sector
21,"airport, pickering, land, mzo, greenbelt",1,2024-05-23 11:31:12.000,21_land_development_urban_appeal
-1,"stores, government, crombie, said, fee",9,2024-05-31 22:04:48.000,-1_government_ontario_said_ford
0,"ford, mississauga, said, ontario, election",4,2024-05-31 22:04:48.000,0_ford_election_tariffs_trump
1,"care, hospital, health, muskoka, clinics",12,2024-05-31 22:04:48.000,1_care_health_hospital_health care
2,"subsidy, bethlenfalvy, million, vote, government",2,2024-05-31 22:04:48.000,2_tax_billion_government_ford
3,"education, students, minister, school, lecce",23,2024-05-31 22:04:48.000,3_students_colleges_school_education
6,"beer, stores, store, beer store, corner",16,2024-05-31 22:04:48.000,6_beer_stores_store_alcohol
10,"housing, income, affordable, homes, federal",2,2024-05-31 22:04:48.000,10_housing_homes_affordable_units
19,"locations, serviceontario, bags, bowman, government",4,2024-05-31 22:04:48.000,19_bags_paper_serviceontario_paper bags
20,"ttc, workers, strike, union, legislation",2,2024-05-31 22:04:48.000,20_workers_wage_court_public sector
-1,"said, cabinet, greenbelt, government, harassment",4,2024-06-09 08:38:24.000,-1_government_ontario_said_ford
0,"tourism, niagara, sorry, stevens, ford",6,2024-06-09 08:38:24.000,0_ford_election_tariffs_trump
1,"care, wastewater, health, hospital, covid",5,2024-06-09 08:38:24.000,1_care_health_hospital_health care
2,"digital, wallets, government, cards, privacy",2,2024-06-09 08:38:24.000,2_tax_billion_government_ford
3,"students, school, university, guelph, schools",5,2024-06-09 08:38:24.000,3_students_colleges_school_education
6,"beer, store, stores, beer store, sales",4,2024-06-09 08:38:24.000,6_beer_stores_store_alcohol
7,"lcbo, workers, union, stores, strike",4,2024-06-09 08:38:24.000,7_lcbo_strike_union_stores
9,"jails, capacity, cent capacity, detention, jail",1,2024-06-09 08:38:24.000,9_judges_police_bail_judicial
10,"housing, mayor, city, mississauga, rent",1,2024-06-09 08:38:24.000,10_housing_homes_affordable_units
11,"energy, plants, gas, lecce, electricity",3,2024-06-09 08:38:24.000,11_energy_power_electricity_gas
12,"legislative, science, building, centre, science centre",2,2024-06-09 08:38:24.000,12_science_science centre_centre_buildin...
13,"chicago, highway, gardiner, traffic, don valley",2,2024-06-09 08:38:24.000,13_tunnel_highway_401_407
15,"carbon, tax, carbon tax, levy, crombie",2,2024-06-09 08:38:24.000,15_carbon_tax_carbon tax_crombie
16,"ontario place, place, business case, therme, ontario",3,2024-06-09 08:38:24.000,16_place_ontario place_therme_ontario
-1,"violence, plates, said, licence, government",6,2024-06-17 19:12:00.000,-1_government_ontario_said_ford
0,"tariffs, ford, election, china, said",11,2024-06-17 19:12:00.000,0_ford_election_tariffs_trump
1,"registry, lives, heart, save, save lives",1,2024-06-17 19:12:00.000,1_care_health_hospital_health care
2,"digital, wallets, government, policy, said",1,2024-06-17 19:12:00.000,2_tax_billion_government_ford
3,"students, school, financial, requirement, teachers",2,2024-06-17 19:12:00.000,3_students_colleges_school_education
6,"kenora, beer, bottle, alcohol, store",3,2024-06-17 19:12:00.000,6_beer_stores_store_alcohol
7,"lcbo, union, strike, opseu, workers",5,2024-06-17 19:12:00.000,7_lcbo_strike_union_stores
8,"alcohol, sites, consumption, drug, health",3,2024-06-17 19:12:00.000,8_sites_drug_health_consumption
9,"jails, complaints, jail, report, cases",1,2024-06-17 19:12:00.000,9_judges_police_bail_judicial
10,"housing, building faster, faster fund, municipalities, homes built",2,2024-06-17 19:12:00.000,10_housing_homes_affordable_units
12,"science, science centre, centre, building, roof",21,2024-06-17 19:12:00.000,12_science_science centre_centre_buildin...
20,"older, workers, injured, seniors, workplace safety",1,2024-06-17 19:12:00.000,20_workers_wage_court_public sector
21,"inventory, authority, conservation authority, conservation, parcels",1,2024-06-17 19:12:00.000,21_land_development_urban_appeal
-1,"advertising, government, ontario, news, journalism",30,2024-06-26 05:45:36.000,-1_government_ontario_said_ford
0,"cent, election, neutral, rating, happy",3,2024-06-26 05:45:36.000,0_ford_election_tariffs_trump
1,"macdonald, care, health, client, service",3,2024-06-26 05:45:36.000,1_care_health_hospital_health care
7,"lcbo, strike, stores, opseu, workers",1,2024-06-26 05:45:36.000,7_lcbo_strike_union_stores
8,"mental health, mental, support, police, health",1,2024-06-26 05:45:36.000,8_sites_drug_health_consumption
9,"jails, complaints, jail, report, cases",1,2024-06-26 05:45:36.000,9_judges_police_bail_judicial
10,"housing, units, development, housing affordability, market",1,2024-06-26 05:45:36.000,10_housing_homes_affordable_units
12,"science, science centre, centre, building, roof",15,2024-06-26 05:45:36.000,12_science_science centre_centre_buildin...
14,"mpp, ndp, choice, oosterhoff, arnott",1,2024-06-26 05:45:36.000,14_arnott_speaker_legislature_wearing
16,"place, ontario place, ontario, live, site",2,2024-06-26 05:45:36.000,16_place_ontario place_therme_ontario
21,"grimsby, planning, land, official plan, development",1,2024-06-26 05:45:36.000,21_land_development_urban_appeal
-1,"heat, ontario, mining, workers, claims",10,2024-07-04 16:19:12.000,-1_government_ontario_said_ford
0,"tax cuts, cuts, tax, wealth, privatization",3,2024-07-04 16:19:12.000,0_ford_election_tariffs_trump
1,"increased, savings, blame, revenues, lost",1,2024-07-04 16:19:12.000,1_care_health_hospital_health care
6,"beer, alcohol, stores, lcbo, store",5,2024-07-04 16:19:12.000,6_beer_stores_store_alcohol
7,"lcbo, strike, union, stores, opseu",54,2024-07-04 16:19:12.000,7_lcbo_strike_union_stores
11,"power, energy, electric, electricity, government",3,2024-07-04 16:19:12.000,11_energy_power_electricity_gas
12,"science, science centre, centre, building, ontario science",13,2024-07-04 16:19:12.000,12_science_science centre_centre_buildin...
16,"ontario place, place, ontario, hearing, organizations including",1,2024-07-04 16:19:12.000,16_place_ontario place_therme_ontario
21,"boundary, urban boundary, urban, hamilton, tribunal",1,2024-07-04 16:19:12.000,21_land_development_urban_appeal
-1,"ontario, news, content, advertising, corporations",9,2024-07-13 02:52:48.000,-1_government_ontario_said_ford
0,"ford, election, federal, ontario, said",7,2024-07-13 02:52:48.000,0_ford_election_tariffs_trump
1,"premiers, energy, care, patients, health",1,2024-07-13 02:52:48.000,1_care_health_hospital_health care
4,"asylum, ford said, said, federal government, federal",2,2024-07-13 02:52:48.000,4_encampments_homeless_people_housing
